380	0.000160	0.000017	0.000705	0.181330	0.019690
385	0.000662	0.000072	0.002928	0.180910	0.019540
390	0.002362	0.000253	0.010482	0.180310	0.019350
395	0.007242	0.000769	0.032344	0.179470	0.019040
400	0.019110	0.002004	0.086011	0.178390	0.018710
405	0.043400	0.004509	0.197120	0.177120	0.018400
410	0.084736	0.008756	0.389366	0.175490	0.018130
415	0.140638	0.014456	0.656760	0.173230	0.017810
420	0.204492	0.021391	0.972542	0.170630	0.017850
425	0.264737	0.029497	1.282500	0.167900	0.018710
430	0.314679	0.038676	1.553480	0.165030	0.020280
435	0.357719	0.049602	1.798500	0.162170	0.022490
440	0.383734	0.062077	1.967280	0.159020	0.025730
445	0.386726	0.074704	2.027300	0.155390	0.030020
450	0.370702	0.089456	1.994800	0.151000	0.036440
455	0.342957	0.106256	1.900700	0.145940	0.045220
460	0.302273	0.128201	1.745370	0.138920	0.058920
465	0.254085	0.152761	1.554900	0.129520	0.077870
470	0.195618	0.185190	1.317560	0.115180	0.109040
475	0.132349	0.219940	1.030200	0.095730	0.159090
480	0.080507	0.253589	0.772125	0.072780	0.229240
485	0.041072	0.297665	0.570060	0.045190	0.327540
490	0.016172	0.339133	0.415254	0.020990	0.440110
495	0.005132	0.395379	0.302356	0.007300	0.562520
500	0.003816	0.460777	0.218502	0.005590	0.674540
505	0.015444	0.531360	0.159249	0.021870	0.752580
510	0.037465	0.606741	0.112044	0.049540	0.802300
515	0.071358	0.685660	0.082248	0.085020	0.816980
520	0.117749	0.761757	0.060709	0.125240	0.810190
525	0.172953	0.823330	0.043050	0.166410	0.792170
530	0.236491	0.875211	0.030451	0.207060	0.766280
535	0.304213	0.923810	0.020584	0.243640	0.739870
540	0.376772	0.961988	0.013676	0.278590	0.711300
545	0.451584	0.982200	0.007918	0.313230	0.681280
550	0.529826	0.991761	0.003988	0.347300	0.650090
555	0.616053	0.999110	0.001091	0.381160	0.618160
560	0.705224	0.997340	0.000000	0.414210	0.585790
565	0.793832	0.982380	0.000000	0.446920	0.553080
570	0.878655	0.955552	0.000000	0.479040	0.520960
575	0.951162	0.915175	0.000000	0.509640	0.490360
580	1.014160	0.868934	0.000000	0.538560	0.461440
585	1.074300	0.825623	0.000000	0.565440	0.434560
590	1.118520	0.777405	0.000000	0.589960	0.410040
595	1.134300	0.720353	0.000000	0.611600	0.388400
600	1.123990	0.658341	0.000000	0.630630	0.369370
605	1.089100	0.593878	0.000000	0.647130	0.352870
610	1.030480	0.527963	0.000000	0.661220	0.338780
615	0.950740	0.461834	0.000000	0.673060	0.326940
620	0.856297	0.398057	0.000000	0.682660	0.317340
625	0.754930	0.339554	0.000000	0.689760	0.310240
630	0.647467	0.283493	0.000000	0.695480	0.304520
635	0.535110	0.228254	0.000000	0.700990	0.299010
640	0.431567	0.179828	0.000000	0.705870	0.294130
645	0.343690	0.140211	0.000000	0.710250	0.289750
650	0.268329	0.107633	0.000000	0.713710	0.286290
655	0.204300	0.081187	0.000000	0.715620	0.284380
660	0.152568	0.060281	0.000000	0.716790	0.283210
665	0.112210	0.044096	0.000000	0.717890	0.282110
670	0.081261	0.031800	0.000000	0.718730	0.281270
675	0.057930	0.022602	0.000000	0.719340	0.280660
680	0.040851	0.015905	0.000000	0.719760	0.280240
685	0.028623	0.011130	0.000000	0.720020	0.279980
690	0.019941	0.007749	0.000000	0.720160	0.279840
695	0.013842	0.005375	0.000000	0.720300	0.279700
700	0.009577	0.003718	0.000000	0.720360	0.279640
705	0.006605	0.002565	0.000000	0.720320	0.279680
710	0.004553	0.001768	0.000000	0.720230	0.279770
715	0.003145	0.001222	0.000000	0.720090	0.279910
720	0.002175	0.000846	0.000000	0.719910	0.280090
725	0.001506	0.000586	0.000000	0.719690	0.280310
730	0.001045	0.000407	0.000000	0.719450	0.280550
735	0.000727	0.000284	0.000000	0.719190	0.280810
740	0.000508	0.000199	0.000000	0.718910	0.281090
745	0.000356	0.000140	0.000000	0.718610	0.281390
750	0.000251	0.000098	0.000000	0.718290	0.281710
755	0.000178	0.000070	0.000000	0.717960	0.282040
760	0.000126	0.000050	0.000000	0.717610	0.282390
765	0.000090	0.000036	0.000000	0.717240	0.282760
770	0.000065	0.000025	0.000000	0.716860	0.283140
775	0.000046	0.000018	0.000000	0.716460	0.283540
780	0.000033	0.000013	0.000000	0.716060	0.283940
